2024-09-13 12:51:59 0 [Note] Starting MariaDB 10.4.28-MariaDB source revision c8f2e9a5c0ac5905f28b050b7df5a9ffd914b7e7 as process 3692
2024-09-13 12:51:59 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2024-09-13 12:51:59 0 [Note] InnoDB: Uses event mutexes
2024-09-13 12:51:59 0 [Note] InnoDB: Compressed tables use zlib 1.2.12
2024-09-13 12:51:59 0 [Note] InnoDB: Number of pools: 1
2024-09-13 12:51:59 0 [Note] InnoDB: Using SSE2 crc32 instructions
2024-09-13 12:51:59 0 [Note] InnoDB: Initializing buffer pool, total size = 16M, instances = 1, chunk size = 16M
2024-09-13 12:51:59 0 [Note] InnoDB: Completed initialization of buffer pool
2024-09-13 12:51:59 0 [Note] InnoDB: Starting crash recovery from checkpoint LSN=300288
2024-09-13 12:51:59 0 [Warning] InnoDB: Are you sure you are using the right ib_logfiles to start up the database? Log sequence number in the ib_logfiles is 300288, less than the log sequence number in the first system tablespace file header, 14047658.
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=296] with future log sequence number 3654750
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=426] with future log sequence number 3654750
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=295] with future log sequence number 3654706
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=330] with future log sequence number 3654706
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=293] with future log sequence number 3654646
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=388] with future log sequence number 3654646
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=292] with future log sequence number 3654602
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=445] with future log sequence number 3654602
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=291] with future log sequence number 3654558
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=419] with future log sequence number 3654558
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=289] with future log sequence number 3654514
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=380] with future log sequence number 3654514
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=288] with future log sequence number 3654470
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=376] with future log sequence number 3654470
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=287] with future log sequence number 3654426
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=335] with future log sequence number 3654426
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=327] with future log sequence number 3396683
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=339] with future log sequence number 3396639
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=402] with future log sequence number 3396579
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=359] with future log sequence number 3396535
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=321] with future log sequence number 3396491
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=423] with future log sequence number 3396447
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=350] with future log sequence number 3396403
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=336] with future log sequence number 3396359
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=319] with future log sequence number 3396315
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=318] with future log sequence number 3396271
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=398] with future log sequence number 3396227
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=397] with future log sequence number 3396183
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=328] with future log sequence number 4423275
2024-09-13 12:51:59 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=418] with future log sequence number 4422991
